,Source,Label,Target
64,Q102116664,Richard George Hall,http://www.wikidata.org/entity/Q102300923
65,Q102116664,Waffa Shabana,http://www.wikidata.org/entity/Q102300922
66,Q102116664,Emma Hazel Cliffe,http://www.wikidata.org/entity/Q102316299
67,Q102116664,computer scientist,http://www.wikidata.org/entity/Q82594
68,Q102116664,Ismail A. A. Al-Rawi,http://www.wikidata.org/entity/Q102367195
69,Q102116664,Robert Beardsworth,http://www.wikidata.org/entity/Q102367098
70,Q102116664,Spiridon K. Kalogeropulos,http://www.wikidata.org/entity/Q102367194
71,Q102116664,statement/Q2575489-1C466E1E-B73E-4AA8-B6D3-5CB6096587C7,http://www.wikidata.org/entity/statement/Q2575489-1C466E1E-B73E-4AA8-B6D3-5CB6096587C7
72,Q102116664,statement/Q2575489-238879D8-078D-4000-B5A5-AF7DF7B1922C,http://www.wikidata.org/entity/statement/Q2575489-238879D8-078D-4000-B5A5-AF7DF7B1922C
73,Q102116664,statement/q2575489-2f475e68-4645-6746-db47-cc78449e4ae7,http://www.wikidata.org/entity/statement/q2575489-2f475e68-4645-6746-db47-cc78449e4ae7
74,Q102116664,statement/Q2575489-497BD1F2-05EE-4617-8A69-61D686BB4175,http://www.wikidata.org/entity/statement/Q2575489-497BD1F2-05EE-4617-8A69-61D686BB4175
75,Q102116664,statement/Q2575489-8020A560-962B-441C-9AFC-EDEB0FC9743D,http://www.wikidata.org/entity/statement/Q2575489-8020A560-962B-441C-9AFC-EDEB0FC9743D
76,Q102116664,statement/Q2575489-4BB69C76-F243-4AB1-A128-063879591AA8,http://www.wikidata.org/entity/statement/Q2575489-4BB69C76-F243-4AB1-A128-063879591AA8
77,Q102116664,statement/Q2575489-78EEE6C1-175F-4DC1-A328-11E433E962E7,http://www.wikidata.org/entity/statement/Q2575489-78EEE6C1-175F-4DC1-A328-11E433E962E7
78,Q102116664,statement/Q2575489-A6CDDC39-D8FF-4EC4-882D-FA3812259FD5,http://www.wikidata.org/entity/statement/Q2575489-A6CDDC39-D8FF-4EC4-882D-FA3812259FD5
79,Q102116664,statement/q2575489-b9d9a4f9-4e9a-3157-5fb8-06d9e97ae3ba,http://www.wikidata.org/entity/statement/q2575489-b9d9a4f9-4e9a-3157-5fb8-06d9e97ae3ba
80,Q102116664,statement/Q2575489-C35D250D-FB94-4EC2-9F08-85866F1DE72A,http://www.wikidata.org/entity/statement/Q2575489-C35D250D-FB94-4EC2-9F08-85866F1DE72A
81,Q102116664,statement/Q2575489-d8b820e7-4d4b-8e14-920e-0fb86ed7ac05,http://www.wikidata.org/entity/statement/Q2575489-d8b820e7-4d4b-8e14-920e-0fb86ed7ac05
82,Q102116664,statement/Q2575489-D9899728-23CE-4F9E-9D4B-6E30659C78E2,http://www.wikidata.org/entity/statement/Q2575489-D9899728-23CE-4F9E-9D4B-6E30659C78E2
83,Q102116664,statement/Q2575489-e674e97f-4717-860a-4958-7a0a82c682fa,http://www.wikidata.org/entity/statement/Q2575489-e674e97f-4717-860a-4958-7a0a82c682fa
84,Q102116664,statement/Q2575489-F9790DEB-5FA6-4791-B660-EEB9045DAB0B,http://www.wikidata.org/entity/statement/Q2575489-F9790DEB-5FA6-4791-B660-EEB9045DAB0B
85,Q102116664,statement/Q2575489-EA575D00-84D9-4058-A2CB-13E774F6E8F7,http://www.wikidata.org/entity/statement/Q2575489-EA575D00-84D9-4058-A2CB-13E774F6E8F7
86,Q102116664,statement/Q2575489-f149c135-d184-4307-9fa5-a009a16fa67f,http://www.wikidata.org/entity/statement/Q2575489-f149c135-d184-4307-9fa5-a009a16fa67f
87,Q102116664,Richard Hicks,http://www.wikidata.org/entity/Q102382818
88,Q102116664,Georg Boenn,http://www.wikidata.org/entity/Q102382154
89,Q102116664,Martin J Brain,http://www.wikidata.org/entity/Q102398707
90,Q102116664,Esraa Hadi Obead Alwan,http://www.wikidata.org/entity/Q102424192
91,Q102116664,92072417,92072417
92,Q102116664,Brits informaticus,Brits informaticus
93,Q102116664,male,http://www.wikidata.org/entity/Q6581097
94,Q102116664,Julian A Padget,http://www.wikidata.org/entity/Q58621441
95,Q102116664,human,http://www.wikidata.org/entity/Q5
96,Q102116664,Tom Crick,http://www.wikidata.org/entity/Q55486562
97,Q102116664,영국 수학자,영국 수학자
98,Q102116664,University of Bath,http://www.wikidata.org/entity/Q1422458
99,Q102116664,Adams Prize,http://www.wikidata.org/entity/Q351723
100,Q102116664,William Marshall Smart,http://www.wikidata.org/entity/Q14949094
101,Q102116664,Royal Medal,http://www.wikidata.org/entity/Q746756
102,Q102116664,Tyson Medal,http://www.wikidata.org/entity/Q7861788
103,Q102116664,Gold Medal of the Royal Astronomical Society,http://www.wikidata.org/entity/Q753072
104,Q102116664,britischer Astronom,britischer Astronom
105,Q102116664,cricketer,http://www.wikidata.org/entity/Q12299841
106,Q102116664,http://www.wikidata.org/reference/fe5b9a6e85f660a4cea0fc2b13b79783f0f02d99,http://www.wikidata.org/reference/fe5b9a6e85f660a4cea0fc2b13b79783f0f02d99
107,Q102116664,University of Cambridge,http://www.wikidata.org/entity/Q35794
108,Q102116664,2025-10-18T15:42:25Z,2025-10-18T15:42:25Z
109,Q102116664,عالم فلك من المملكة المتحدة,عالم فلك من المملكة المتحدة
110,Q102116664,14,14
111,Q102116664,http://wikiba.se/ontology#BestRank,http://wikiba.se/ontology#BestRank
112,Q102116664,http://wikiba.se/ontology#NormalRank,http://wikiba.se/ontology#NormalRank
113,Q102116664,34,34
114,Q102116664,61,61
115,Q102116664,2418014848,2418014848
116,Q102116664,David Barton,http://www.wikidata.org/entity/Q102116664
117,Q102116664,David Barton,http://www.wikidata.org/entity/Q102116664
118,Q102116664,Fellow of the Royal Society,http://www.wikidata.org/entity/Q15631401
119,Q102116664,United Kingdom of Great Britain and Ireland,http://www.wikidata.org/entity/Q174193
120,Q102116664,King Edward VI Five Ways School,http://www.wikidata.org/entity/Q6411524
121,Q102116664,رايموند ليتليتون,رايموند ليتليتون
122,Q102116664,Raymond Lyttleton,Raymond Lyttleton
123,Q102116664,Raymond Lyttleton,Raymond Lyttleton
124,Q102116664,Raymond Lyttleton,Raymond Lyttleton
125,Q102116664,Raymond Lyttleton,Raymond Lyttleton
126,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
127,Q102116664,Raymond Lyttleton,Raymond Lyttleton
128,Q102116664,British mathematician and theoretical astronomer (1911-1995),British mathematician and theoretical astronomer (1911-1995)
129,Q102116664,Raymond A. Lyttleton,Raymond A. Lyttleton
130,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
131,Q102116664,Raymond Lyttleton,Raymond Lyttleton
132,Q102116664,Raymond Lyttleton,Raymond Lyttleton
133,Q102116664,Raymond Lyttleton,Raymond Lyttleton
134,Q102116664,Raymond Lyttleton,Raymond Lyttleton
135,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
136,Q102116664,Raymond Lyttleton,Raymond Lyttleton
137,Q102116664,Raymond Lyttleton,Raymond Lyttleton
138,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
139,Q102116664,Raymond Littleton,Raymond Littleton
140,Q102116664,Raymond Lyttleton,Raymond Lyttleton
141,Q102116664,Raymond Lyttleton,Raymond Lyttleton
142,Q102116664,Raymond Lyttleton,Raymond Lyttleton
143,Q102116664,Raymond Lyttleton,Raymond Lyttleton
144,Q102116664,Raymond Lyttleton,Raymond Lyttleton
145,Q102116664,Raymond Lyttleton,Raymond Lyttleton
146,Q102116664,Raymond Lyttleton,Raymond Lyttleton
147,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
148,Q102116664,Raymond Lyttleton,Raymond Lyttleton
149,Q102116664,Raymond Lyttleton,Raymond Lyttleton
150,Q102116664,Raymond Lyttleton,Raymond Lyttleton
151,Q102116664,レイモンド・リットルトン,レイモンド・リットルトン
152,Q102116664,레이먼드 리틀턴,레이먼드 리틀턴
153,Q102116664,레이먼드 아서 리틀턴,레이먼드 아서 리틀턴
154,Q102116664,"영국 수학자, 천문학자","영국 수학자, 천문학자"
155,Q102116664,Raymond Lyttleton,Raymond Lyttleton
156,Q102116664,Raymond Lyttleton,Raymond Lyttleton
157,Q102116664,Raymond Lyttleton,Raymond Lyttleton
158,Q102116664,Raymond Lyttleton,Raymond Lyttleton
159,Q102116664,Raymond Lyttleton,Raymond Lyttleton
160,Q102116664,Brits astronoom (1911-1995),Brits astronoom (1911-1995)
161,Q102116664,Raymond Lyttleton,Raymond Lyttleton
162,Q102116664,Raymond Lyttleton,Raymond Lyttleton
163,Q102116664,Raymond Lyttleton,Raymond Lyttleton
164,Q102116664,Raymond Lyttleton,Raymond Lyttleton
165,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
166,Q102116664,Raymond Lyttleton,Raymond Lyttleton
167,Q102116664,Raymond Lyttleton,Raymond Lyttleton
168,Q102116664,Raymond Lyttleton,Raymond Lyttleton
169,Q102116664,"Британский математик, астроном","Британский математик, астроном"
170,Q102116664,"Литлтон, Реймонд Артур","Литлтон, Реймонд Артур"
171,Q102116664,Реймонд Артур Литлтон,Реймонд Артур Литлтон
172,Q102116664,Реймонд Артур Литлтон,Реймонд Артур Литлтон
173,Q102116664,Raymond Lyttleton,Raymond Lyttleton
174,Q102116664,Raymond Arthur Lyttleton,Raymond Arthur Lyttleton
175,Q102116664,Raymond Lyttleton,Raymond Lyttleton
176,Q102116664,Raymond Lyttleton,Raymond Lyttleton
177,Q102116664,Raymond Lyttleton,Raymond Lyttleton
178,Q102116664,Raymond Lyttleton,Raymond Lyttleton
179,Q102116664,Літлтон Реймонд Артур,Літлтон Реймонд Артур
180,Q102116664,Літтлтон Раймонд Артур,Літтлтон Раймонд Артур
181,Q102116664,Раймонд Літтлтон,Раймонд Літтлтон
182,Q102116664,Реймонд Артур Літлтон,Реймонд Артур Літлтон
183,Q102116664,R. A. Lyttleton,R. A. Lyttleton
184,Q102116664,ستارهشناس بریتانیایی,ستارهشناس بریتانیایی
185,Q102116664,matematico e astronomo britannico,matematico e astronomo britannico
186,Q102116664,astronomer,http://www.wikidata.org/entity/Q11063
187,Q102116664,Warley Woods,http://www.wikidata.org/entity/Q19572769
188,Q102116664,1945-01-01T00:00:00Z,1945-01-01T00:00:00Z
189,Q102116664,n99000539,n99000539
190,Q102116664,WikiProject Mathematics,http://www.wikidata.org/entity/Q8487137
191,Q102116664,John,http://www.wikidata.org/entity/Q4925477
192,Q102116664,statement/Q6233248-cdbbbffa-46e8-b303-89b8-827605d911d1,http://www.wikidata.org/entity/statement/Q6233248-cdbbbffa-46e8-b303-89b8-827605d911d1
193,Q102116664,0,0
194,Q102116664,2,2
195,Q102116664,9,9
196,Q102116664,91452,91452
197,Q102116664,278864,278864
198,Q102116664,Arthur,http://www.wikidata.org/entity/Q1778168
199,Q102116664,67275,67275
200,Q102116664,2025-04-03T08:29:05Z,2025-04-03T08:29:05Z
201,Q102116664,http://data.bibliotheken.nl/id/thes/p07021090X,http://data.bibliotheken.nl/id/thes/p07021090X
202,Q102116664,http://data.bnf.fr/ark:/12148/cb12280281t#about,http://data.bnf.fr/ark:/12148/cb12280281t#about
203,Q102116664,http://www.idref.fr/031623417/id,http://www.idref.fr/031623417/id
204,Q102116664,statement/Q6233248-0517d3b9-4798-3ffd-142c-57e2600ab1f6,http://www.wikidata.org/entity/statement/Q6233248-0517d3b9-4798-3ffd-142c-57e2600ab1f6
205,Q102116664,statement/Q6233248-2F0CA848-650D-400D-99E9-7956776ADEFC,http://www.wikidata.org/entity/statement/Q6233248-2F0CA848-650D-400D-99E9-7956776ADEFC
206,Q102116664,statement/Q6233248-1071C335-BE71-4065-B754-4C309A1F5E77,http://www.wikidata.org/entity/statement/Q6233248-1071C335-BE71-4065-B754-4C309A1F5E77
207,Q102116664,statement/Q6233248-1CACF542-910B-4428-B3AC-C6C395686737,http://www.wikidata.org/entity/statement/Q6233248-1CACF542-910B-4428-B3AC-C6C395686737
208,Q102116664,statement/Q6233248-40A7CB72-A795-47CB-9489-620EC0F80D1C,http://www.wikidata.org/entity/statement/Q6233248-40A7CB72-A795-47CB-9489-620EC0F80D1C
209,Q102116664,statement/Q6233248-5D3C53B5-A4ED-4CF8-B5C5-E747415D3E3C,http://www.wikidata.org/entity/statement/Q6233248-5D3C53B5-A4ED-4CF8-B5C5-E747415D3E3C
210,Q102116664,statement/Q6233248-5FBED048-A50D-4F20-AC77-EC1900C19CB6,http://www.wikidata.org/entity/statement/Q6233248-5FBED048-A50D-4F20-AC77-EC1900C19CB6
211,Q102116664,statement/Q6233248-733A6C4E-8850-48EC-8B0C-E62DF1E56E23,http://www.wikidata.org/entity/statement/Q6233248-733A6C4E-8850-48EC-8B0C-E62DF1E56E23
212,Q102116664,statement/Q6233248-835BECE8-7B76-422E-9BA4-7192C12F4921,http://www.wikidata.org/entity/statement/Q6233248-835BECE8-7B76-422E-9BA4-7192C12F4921
213,Q102116664,statement/Q6233248-5617B9AD-549F-4C43-9D6D-CF2DC73CCF56,http://www.wikidata.org/entity/statement/Q6233248-5617B9AD-549F-4C43-9D6D-CF2DC73CCF56
214,Q102116664,statement/Q6233248-88e454e2-45c5-4ab2-69dc-41f7c89bd73c,http://www.wikidata.org/entity/statement/Q6233248-88e454e2-45c5-4ab2-69dc-41f7c89bd73c
215,Q102116664,statement/Q6233248-90DDE828-2EFD-4F7E-BCE5-2775CF238A12,http://www.wikidata.org/entity/statement/Q6233248-90DDE828-2EFD-4F7E-BCE5-2775CF238A12
216,Q102116664,statement/Q6233248-967CA60F-75CC-46E6-851F-61E80378A6FA,http://www.wikidata.org/entity/statement/Q6233248-967CA60F-75CC-46E6-851F-61E80378A6FA
217,Q102116664,statement/Q6233248-97732B04-00BB-4932-A42A-0F8B7942D3B3,http://www.wikidata.org/entity/statement/Q6233248-97732B04-00BB-4932-A42A-0F8B7942D3B3
218,Q102116664,statement/Q6233248-054E81EB-C7A2-4004-8BB7-E9AF4182E027,http://www.wikidata.org/entity/statement/Q6233248-054E81EB-C7A2-4004-8BB7-E9AF4182E027
219,Q102116664,statement/Q6233248-17b23eca-9726-4d34-9432-cbaa82488945,http://www.wikidata.org/entity/statement/Q6233248-17b23eca-9726-4d34-9432-cbaa82488945
220,Q102116664,statement/Q6233248-184442d1-6f64-4715-a8ad-835f19292c8d,http://www.wikidata.org/entity/statement/Q6233248-184442d1-6f64-4715-a8ad-835f19292c8d
221,Q102116664,statement/Q6233248-1b7b9098-c7e2-432a-b071-e9ac052ae24b,http://www.wikidata.org/entity/statement/Q6233248-1b7b9098-c7e2-432a-b071-e9ac052ae24b
222,Q102116664,statement/Q6233248-2c97a1fb-651c-440f-82de-2e7557427793,http://www.wikidata.org/entity/statement/Q6233248-2c97a1fb-651c-440f-82de-2e7557427793
223,Q102116664,statement/Q6233248-35b8e283-4268-41c7-b4d8-bd28f2a50ed1,http://www.wikidata.org/entity/statement/Q6233248-35b8e283-4268-41c7-b4d8-bd28f2a50ed1
224,Q102116664,statement/Q6233248-470179CA-B80C-474E-8CAE-1B9C414E8A25,http://www.wikidata.org/entity/statement/Q6233248-470179CA-B80C-474E-8CAE-1B9C414E8A25
225,Q102116664,statement/Q6233248-47e7effd-7a71-40f2-8aba-c10d54adb309,http://www.wikidata.org/entity/statement/Q6233248-47e7effd-7a71-40f2-8aba-c10d54adb309
226,Q102116664,statement/Q6233248-57ebc7e7-d36e-47f1-980d-f83c7f5f5a7f,http://www.wikidata.org/entity/statement/Q6233248-57ebc7e7-d36e-47f1-980d-f83c7f5f5a7f
227,Q102116664,statement/Q6233248-EB86ECF9-A603-4BF0-AEF1-AC497FAD48E2,http://www.wikidata.org/entity/statement/Q6233248-EB86ECF9-A603-4BF0-AEF1-AC497FAD48E2
228,Q102116664,statement/Q6233248-CA48BD72-8D4F-4AED-9E19-A883F8D0A676,http://www.wikidata.org/entity/statement/Q6233248-CA48BD72-8D4F-4AED-9E19-A883F8D0A676
229,Q102116664,statement/Q6233248-59efee06-664f-4c69-a558-c28b344e906c,http://www.wikidata.org/entity/statement/Q6233248-59efee06-664f-4c69-a558-c28b344e906c
230,Q102116664,statement/Q6233248-5d92b8e5-30f6-4cfc-981c-b3db54f23156,http://www.wikidata.org/entity/statement/Q6233248-5d92b8e5-30f6-4cfc-981c-b3db54f23156
231,Q102116664,statement/Q6233248-FDE67F33-2E87-4BBA-B995-49F2C2E64764,http://www.wikidata.org/entity/statement/Q6233248-FDE67F33-2E87-4BBA-B995-49F2C2E64764
232,Q102116664,statement/Q6233248-76849fd9-24a7-4db9-ab08-9fc485762974,http://www.wikidata.org/entity/statement/Q6233248-76849fd9-24a7-4db9-ab08-9fc485762974
233,Q102116664,statement/Q6233248-F74FA4A1-3EAC-42EF-8BA4-91B18D1B6C01,http://www.wikidata.org/entity/statement/Q6233248-F74FA4A1-3EAC-42EF-8BA4-91B18D1B6C01
234,Q102116664,statement/Q6233248-86A851FE-D9F2-44DA-B8C2-A28BEBD05559,http://www.wikidata.org/entity/statement/Q6233248-86A851FE-D9F2-44DA-B8C2-A28BEBD05559
235,Q102116664,statement/Q6233248-9771b885-b7bc-407e-8c9f-b7f7682d6c51,http://www.wikidata.org/entity/statement/Q6233248-9771b885-b7bc-407e-8c9f-b7f7682d6c51
236,Q102116664,statement/q6233248-9D15772A-F37C-44C7-B6CF-1C5CD3E6CF63,http://www.wikidata.org/entity/statement/q6233248-9D15772A-F37C-44C7-B6CF-1C5CD3E6CF63
237,Q102116664,statement/Q6233248-A1AC6D83-E901-46B3-A237-638855BE2E82,http://www.wikidata.org/entity/statement/Q6233248-A1AC6D83-E901-46B3-A237-638855BE2E82
238,Q102116664,statement/Q6233248-a65f674b-4086-45c8-a8b6-a0cc53ba4f4b,http://www.wikidata.org/entity/statement/Q6233248-a65f674b-4086-45c8-a8b6-a0cc53ba4f4b
239,Q102116664,statement/Q6233248-c1eb8bee-a5ee-42cf-8069-f4e162cb40c2,http://www.wikidata.org/entity/statement/Q6233248-c1eb8bee-a5ee-42cf-8069-f4e162cb40c2
240,Q102116664,statement/Q6233248-c4193045-49f1-4a41-a3f7-5307aa4f1c57,http://www.wikidata.org/entity/statement/Q6233248-c4193045-49f1-4a41-a3f7-5307aa4f1c57
241,Q102116664,statement/Q6233248-c5afe83d-b008-43ab-8349-9527d3489f90,http://www.wikidata.org/entity/statement/Q6233248-c5afe83d-b008-43ab-8349-9527d3489f90
242,Q102116664,statement/Q6233248-ceef93de-35df-4bbb-822e-e76827491616,http://www.wikidata.org/entity/statement/Q6233248-ceef93de-35df-4bbb-822e-e76827491616
243,Q102116664,statement/Q6233248-E11D6424-1241-450E-B122-8B68F0850478,http://www.wikidata.org/entity/statement/Q6233248-E11D6424-1241-450E-B122-8B68F0850478
244,Q102116664,statement/Q6233248-e1779be0-aaa5-417a-9f19-826ec29d60ae,http://www.wikidata.org/entity/statement/Q6233248-e1779be0-aaa5-417a-9f19-826ec29d60ae
245,Q102116664,statement/Q6233248-e6741e62-970e-41e7-b4ad-37593e1786df,http://www.wikidata.org/entity/statement/Q6233248-e6741e62-970e-41e7-b4ad-37593e1786df
246,Q102116664,statement/Q6233248-e9e26087-e820-45c2-83a0-1a9c53749b28,http://www.wikidata.org/entity/statement/Q6233248-e9e26087-e820-45c2-83a0-1a9c53749b28
247,Q102116664,statement/Q6233248-ea5bbd3e-253f-4dae-a773-a108388e96a8,http://www.wikidata.org/entity/statement/Q6233248-ea5bbd3e-253f-4dae-a773-a108388e96a8
248,Q102116664,statement/q6233248-F2791CDB-7102-4D3E-8F72-93C0B038D389,http://www.wikidata.org/entity/statement/q6233248-F2791CDB-7102-4D3E-8F72-93C0B038D389
249,Q102116664,statement/Q6233248-FD314C62-9013-48C5-B9B2-A8026C1E2165,http://www.wikidata.org/entity/statement/Q6233248-FD314C62-9013-48C5-B9B2-A8026C1E2165
250,Q102116664,https://dblp.org/pid/45/2187,https://dblp.org/pid/45/2187
251,Q102116664,/m/027rqx2,/m/027rqx2
252,Q102116664,07021090X,07021090X
253,Q102116664,12280281t,12280281t
254,Q102116664,14721249,14721249
255,Q102116664,45/2187,45/2187
256,Q102116664,81406599452,81406599452
257,Q102116664,987007430337705171,987007430337705171
258,Q102116664,E39PBJpJcCC3RRmBVfDRPhWVYP,E39PBJpJcCC3RRmBVfDRPhWVYP
259,Q102116664,fitch.john,fitch.john
260,Q102116664,031623417,031623417
261,Q102116664,91451,91451
262,Q102116664,statement/Q6233248-25E17CFE-4DA8-4D14-B7C2-68CF746FBD41,http://www.wikidata.org/entity/statement/Q6233248-25E17CFE-4DA8-4D14-B7C2-68CF746FBD41
263,Q102116664,person/c36e1fa4-f2e2-4a53-aa98-9f92a91a2d95,person/c36e1fa4-f2e2-4a53-aa98-9f92a91a2d95
264,Q102116664,2334111001,2334111001
265,Q102116664,English,http://www.wikidata.org/entity/Q1860
266,Q102116664,Ph.D. University of Cambridge 1973,Ph.D. University of Cambridge 1973
267,Q102116664,John Fitch,http://www.wikidata.org/entity/Q578827
268,Q102116664,statement/Q102123184-8533D769-88A7-42DF-8CB6-60EDFBC28493,http://www.wikidata.org/entity/statement/Q102123184-8533D769-88A7-42DF-8CB6-60EDFBC28493
269,Q102116664,statement/Q102123184-3379F43B-3E42-4905-B23A-824EA63B2860,http://www.wikidata.org/entity/statement/Q102123184-3379F43B-3E42-4905-B23A-824EA63B2860
270,Q102116664,statement/Q102123184-D10E2B11-2868-4781-BFA1-4A926C79128D,http://www.wikidata.org/entity/statement/Q102123184-D10E2B11-2868-4781-BFA1-4A926C79128D
271,Q102116664,statement/Q102123184-173AA100-9E2C-48AF-BC97-2145A32D0FFA,http://www.wikidata.org/entity/statement/Q102123184-173AA100-9E2C-48AF-BC97-2145A32D0FFA
272,Q102116664,statement/Q102123184-1dad5448-e590-4325-b347-17df04680817,http://www.wikidata.org/entity/statement/Q102123184-1dad5448-e590-4325-b347-17df04680817
273,Q102116664,statement/Q102123184-36051d38-d5a4-458d-8f1b-c0b06aa8c6c1,http://www.wikidata.org/entity/statement/Q102123184-36051d38-d5a4-458d-8f1b-c0b06aa8c6c1
274,Q102116664,statement/Q102123184-41F60D3D-4805-4E3E-8400-21F9B6842309,http://www.wikidata.org/entity/statement/Q102123184-41F60D3D-4805-4E3E-8400-21F9B6842309
275,Q102116664,statement/Q102123184-93883d3f-67ea-4d98-82b0-53f4fdae9031,http://www.wikidata.org/entity/statement/Q102123184-93883d3f-67ea-4d98-82b0-53f4fdae9031
276,Q102116664,statement/Q102123184-f007363e-93f1-42b0-8a8b-99549f706c68,http://www.wikidata.org/entity/statement/Q102123184-f007363e-93f1-42b0-8a8b-99549f706c68
277,Q102116664,Arthur Charles Norman,Arthur Charles Norman
278,Q102116664,Arthur Charles Norman,Arthur Charles Norman
279,Q102116664,Arthur Charles Norman,Arthur Charles Norman
280,Q102116664,Arthur Charles Norman,Arthur Charles Norman
281,Q102116664,statement/Q2575489-ee81961e-4b3a-7558-ce57-01f44bd6a717,http://www.wikidata.org/entity/statement/Q2575489-ee81961e-4b3a-7558-ce57-01f44bd6a717
282,Q102116664,Raymond,http://www.wikidata.org/entity/Q2127728
